   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 561,         77067,           76513,          60140,      7994,        1627,       3248,        156520,             553,          32179,     8530,       4652,      3442
 562,         77201,           76646,          56547,      8207,        1598,       2935,        157080,             549,          32606,     8535,       4649,      3808
 563,         77480,           76924,          55695,      8301,        1599,       3078,        157641,             554,          32151,     8535,       4654,      3485
 564,         77896,           77339,          55111,      8107,        1638,       3656,        158203,             555,          32413,     8553,       4644,      3680
 565,         78429,           77871,          55704,      8508,        1628,       3384,        158766,             559,          32217,     8610,       4690,      3485
 566,         78465,           77906,          60592,      8058,        1654,       4764,        159330,             561,          40477,     8623,       4679,      3647
 567,         78692,           78132,          65488,      7920,        1639,       4044,        159895,             562,          38133,     8625,       4689,      3697
 568,         78735,           78174,          56439,      8881,        1600,       3216,        160461,             560,          32754,     8640,       4712,      3573
 569,         79248,           78686,          55604,      8614,        1626,       3468,        161028,             564,          34215,     8652,       4701,      3562
 570,         79483,           78920,          56593,      8550,        1632,       3030,        161596,             563,          33594,     8688,       4733,      4117
 571,         79918,           79354,          56568,      8848,        1626,       3179,        162165,             561,          32873,     8732,       4753,      3591
 572,         80441,           79876,          57799,      8496,        1638,       3035,        162735,             561,          34331,     8707,       4743,      3863
 573,         80799,           80233,          62300,      8487,        1658,       3802,        163306,             568,          33234,     8747,       4762,      3814
 574,         81321,           80754,          56699,      8650,        1614,       3765,        163878,             566,          33490,     8772,       4787,      3863
 575,         81779,           81211,          57081,      8317,        1649,       3000,        164451,             563,          33403,     8792,       4770,      3705
 576,         82153,           81584,          58798,      8365,        1668,       3399,        165025,             567,          33978,     8798,       4793,      3791
 577,         82670,           82100,          66426,      8726,        1622,       4083,        165600,             571,          34013,     8811,       4802,      4073
 578,         83164,           82593,          58165,      8595,        1667,       3185,        166176,             570,          35320,     8860,       4815,      3604
 579,         83188,           82616,          58052,      8071,        1686,       2937,        166753,             572,          33993,     8890,       4828,      3596
 580,         83543,           82970,          59646,      8670,        1627,       3157,        167331,             573,          37330,     8879,       4823,      3866
