    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  132,          5008,            4885,           3356,      1444,         315,        553,          8515,             125,           1633,     1431,        801,       593
  133,          5087,            4963,           3378,      1386,         317,        533,          8646,             127,           1669,     1438,        809,       593
  134,          5209,            5084,           3407,      1469,         332,        561,          8778,             129,           2124,     1456,        810,       587
  135,          5260,            5134,           3481,      1482,         326,        552,          8911,             130,           1705,     1473,        819,       590
  136,          5282,            5155,           3701,      1446,         335,        544,          9045,             130,           1758,     1485,        825,       595
  137,          5331,            5203,           3537,      1502,         339,        741,          9180,             131,           1782,     1489,        834,       614
  138,          5419,            5290,           3753,      1705,         341,        637,          9316,             133,           1769,     1504,        837,       604
  139,          5421,            5291,           3649,      1529,         336,        583,          9453,             134,           1801,     1521,        843,       608
  140,          5493,            5362,           4105,      1534,         340,        592,          9591,             135,           2234,     1541,        860,       699
  141,          5576,            5444,           3933,      1561,         335,        596,          9730,             136,           1929,     1556,        864,       643
  142,          5714,            5581,           3830,      1619,         348,        615,          9870,             138,           1889,     1578,        881,       656
  143,          5848,            5714,           4091,      1641,         349,        622,         10011,             135,           1905,     1589,        884,       639
  144,          5895,            5760,           4014,      1529,         345,        570,         10153,             136,           1919,     1612,        897,       646
  145,          5993,            5857,           4459,      1592,         352,        613,         10296,             138,           2045,     1611,        892,       663
  146,          6126,            5989,           4094,      1601,         360,        613,         10440,             139,           1995,     1641,        912,       679
  147,          6234,            6096,           4269,      1723,         356,        625,         10585,             141,           2135,     1652,        923,       709
  148,          6305,            6166,           5614,      1730,         362,        660,         10731,             140,           2047,     1656,        919,       668
  149,          6426,            6286,           5157,      1762,         369,        810,         10878,             142,           2641,     1674,        933,       943
  150,          6456,            6315,           5458,      1675,         360,        739,         11026,             142,           2678,     1681,        931,       946
  151,          6597,            6455,           5125,      1685,         380,        667,         11175,             143,           2269,     1702,        939,       743
  152,          6637,            6494,           4757,      1648,         368,        826,         11325,             145,           2387,     1714,        947,       760
  153,          6753,            6609,           4649,      1765,         381,        679,         11476,             146,           2313,     1718,        952,       696
  154,          6786,            6641,           4638,      1743,         369,        682,         11628,             151,           3345,     1732,        963,       894
  155,          6831,            6685,           5238,      1761,         394,        818,         11781,             149,           2734,     1744,        964,       704
  156,          6932,            6785,           5623,      1758,         388,        680,         11935,             147,           2289,     1780,        994,       720
  157,          6942,            6794,           4635,      1762,         394,        674,         12090,             149,           2459,     1792,        994,       738
  158,          7034,            6885,           5157,      1728,         386,        769,         12246,             152,           2776,     1798,        993,       747
  159,          7080,            6930,           4726,      1854,         393,        705,         12403,             155,           2343,     1823,       1011,       735
  160,          7164,            7013,           6071,      1896,         408,        700,         12561,             156,           2377,     1830,       1016,       768
  161,          7184,            7032,           4903,      1871,         403,        711,         12720,             155,           3028,     1840,       1020,       840
  162,          7212,            7059,           5128,      1827,         392,        699,         12880,             156,           2474,     1863,       1032,       771
